,Station Id,Station Name,Neighbourhood,capacity
581,7648,909 Yonge St,Rosedale-Moore Park ,14
582,7650,St Clair W Subway - Heath Entrance,Forest Hill South ,22
583,7653,Bloor St W / Indian Rd,High Park North ,15
584,7654,Bloor St W / Pacific Ave,High Park North ,7
585,7655,Danforth Ave / Dewhurst Blvd,Danforth ,15
586,7656,Bloor St W / Brock Ave,Dufferin Grove ,11
587,7657,1 Market St - SMART,Waterfront Communities-The Island ,19
588,7658,Kings Mill Park,Kingsway South ,11
589,7659,Amroth Ave / Danforth Ave,East End-Danforth ,19
590,7660,285 Victoria St,Church-Yonge Corridor ,19
591,7662,Beaty Ave / Queen St W,South Parkdale ,19
592,7663,Kilgour Rd / Rumsey Rd,Bridle Path-Sunnybrook-York Mills ,17
593,7664,Sunnybrook Health Centre - L Wing,Bridle Path-Sunnybrook-York Mills ,15
594,7665,Sunnybrook Health Centre - S Wing,Bridle Path-Sunnybrook-York Mills ,11
595,7666,Dundas St W / St Helen Ave - SMART,Dufferin Grove ,26
596,7667,Spadina Ave / Sussex Ave - SMART,University ,35
597,7668,Simcoe St / Dundas St W - SMART,Kensington-Chinatown ,20
598,7670,Yonge St / Woburn Ave - SMART,Lawrence Park North ,12
599,7671,Yonge St / Montgomery Ave - SMART,Yonge-Eglinton ,12
600,7675,1525 Dundas St,Little Portugal ,15
601,7676,York University (Glendon Campus) - SMART,Bridle Path-Sunnybrook-York Mills ,16
602,7677,1303 Yonge St - SMART,Rosedale-Moore Park ,15
603,7678,York University Station (South) - SMART,York University Heights ,16
604,7679,York University Station (North),York University Heights ,15
605,7680,Princes Gate / Nunavut Dr,Niagara ,19
606,7681,25 Booth Ave,South Riverdale ,24
607,7682,Bathurst St / Front St W,Waterfront Communities-The Island ,23
608,7683,Bay St / Harbour St (West),Waterfront Communities-The Island ,15
609,7684,Bay St / Harbour St (East),Waterfront Communities-The Island ,23
610,7685,King / Brant,Waterfront Communities-The Island ,23
611,7686,Lower Jarvis / The Esplanade,Waterfront Communities-The Island ,15
612,7687,Bloor / Gladstone - SMART,Dovercourt-Wallace Emerson-Junction ,11
613,7688,High Park Blvd / Parkside Dr,High Park-Swansea ,15
614,7689,20 Eaton,Danforth ,26
615,7691,Christie St / Dupont St,Annex ,19
616,7692,85 Lee Ave,The Beaches ,26
617,7693,Mutual St / Shuter St (Arena Gardens) - SMART,Church-Yonge Corridor ,19
618,7694,Victoria Park Ave / Dawes Rd - SMART,O'Connor-Parkview ,19
619,7695,Queen St E / Joseph Duggan Rd - SMART,The Beaches ,19
620,7696,Hayworth Cres / Kingston Rd - SMART,East End-Danforth ,19
621,7697,St Clair Ave W / Cloverdale Rd - SMART,Weston-Pellam Park ,15
622,7698,St Clair Ave W / Caledonia Rd - SMART,Corso Italia-Davenport ,14
623,7699,St Clair Ave W / Oakwood Ave - SMART,Wychwood ,15
