,Station Id,Station Name,Neighbourhood
402,7448,Goodwood Park Ct / Dentonia Park,Taylor-Massey 
403,7449,Cosburn Ave / Cedarvale Ave,Woodbine-Lumsden 
404,7450,Carlaw Ave / Danforth Ave,North Riverdale 
405,7451,Western Battery Rd / Pirandello St,Niagara 
406,7452,Bleecker St / St James Ave,North St.James Town 
407,7453,Jarvis St / Maitland Pl,Cabbagetown-South St.James Town 
408,7454,Pottery Rd / Lower Don River Trail,Broadview North 
409,7455,E.T. Seton Park (Eglinton Ave E / Leslie St),Flemingdon Park 
410,7457,Queen's Park Cres W / Hoskin Ave,University 
411,7458,Church St / Lombard St,Church-Yonge Corridor 
412,7459,St Clair Ave W / Winona Ave,Wychwood 
413,7460,High Park Outdoor Pool,High Park-Swansea 
414,7461,High Park Amphitheatre,High Park-Swansea 
415,7462,Richmond St E / Yonge St,Church-Yonge Corridor 
416,7463,Adelaide St W / Brant St,Waterfront Communities-The Island 
417,7465,Russell Hill Rd / St Clair Ave W,Casa Loma 
418,7466,Glendonwynne Ave / Bloor St W,High Park North 
419,7467,Lower Simcoe St / Bremner Blvd,Waterfront Communities-The Island 
420,7468,Front St / Simcoe St,Waterfront Communities-The Island 
421,7469,Wellington St W / York St,Bay Street Corridor 
422,7471,Lake Shore Blvd W / Louisa St,Mimico 
423,7472,Dundas St E / Victoria St,Church-Yonge Corridor 
424,7473,Adelaide St W / Strachan Ave,Niagara 
425,7474,Clarence Square,Waterfront Communities-The Island 
426,7475,Jarvis St / Richmond St E,Moss Park 
427,7476,Symington Ave / Dupont St,Dovercourt-Wallace Emerson-Junction 
428,7477,Antler St / Campbell Ave - SMART,Dovercourt-Wallace Emerson-Junction 
429,7478,Ellis Ave / The Queensway,High Park-Swansea 
430,7479,Jane St / Bloor St W (Jane Subway Station),Lambton Baby Point 
431,7480,Neil McLellan Park,Runnymede-Bloor West Village 
432,7482,Danforth Ave / Sibley Ave,Taylor-Massey 
433,7483,Southwood Dr / Kingston Rd - SMART,The Beaches 
434,7484,Briar Hill Ave / Yonge St - SMART,Yonge-Eglinton 
435,7485,Blythwood Rd / Yonge St - SMART,Mount Pleasant East 
436,7486,Gerrard St E / Ted Reeve Dr,East End-Danforth 
437,7487,Eastwood Rd / Woodbine Ave - SMART,Woodbine Corridor 
438,7488,Summerhill Ave / Maclennan Ave,Rosedale-Moore Park 
439,7489,Sumach St  / Queen St E,Moss Park 
440,7491,D'Arcy St / Spadina Ave - SMART,Kensington-Chinatown 
441,7492,324 Cherry St,Waterfront Communities-The Island 
442,7493,Sackville St / Eastern Ave - SMART,Moss Park 
443,7494,Davenport Rd / McAlpine St - SMART,Annex 
444,7496,Sunnyside Ave / The Queensway - SMART,High Park-Swansea 
445,7497,128 Sterling Ave - SMART,Dufferin Grove 
446,7501,Humberside Grounds - SMART,High Park North 
447,7502,University Ave / College St (East),Bay Street Corridor 
448,7503,Gerrard St E / Malvern Ave - SMART,East End-Danforth 
